"{\fCalibri|b0|i0|c0|p34;ACTIVITY #}","{\fCalibri|b0|i0|c0|p34;No # }","{\fCalibri|b0|i0|c0|p34;SIZE/TYPE}","{\fCalibri|b0|i0|c0|p34;LENGTH}","Z-COORDINATES"
"504-04","1","BORE 18mm FUTUREPATH CONDUIT","49m",""
"504-05","1","BORE 18mm FUTUREPATH CONDUIT","49m",""
"507-06","1","BORE 18mm FUTUREPATH CONDUIT","32m",""
"507-07","1","BORE 18mm FUTUREPATH CONDUIT","49m",""
"507-08","1","BORE 18mm FUTUREPATH CONDUIT","51m",""
"508","1","PLACE 2335 SB-1141A3-8 (DETAIL A)","N/A",""
"508-01","1","BORE 18mm FUTUREPATH CONDUIT","89m",""
"508-02","1","BORE 18mm FUTUREPATH CONDUIT","89m",""
"508-03","1","BORE 18mm FUTUREPATH CONDUIT","75m",""
"508-04","1","BORE 18mm FUTUREPATH CONDUIT","67m",""
